"","MS245","MS374","MS371","MS348","MS352"
"Q15149;Q13435;Q5JRA6;Q9BQ69",23.1851635262727,22.7057253678774,23.4448030659796,23.9554088548593,23.3392108010965
"Q13813",23.7898388939335,23.5621742882525,24.0840259263112,23.9547884027293,23.8010323371811
"Q01082;O60683;O95084",23.5298019250493,23.345931751879,23.889634962975,23.9601310916798,23.7095022140804
"P14136;O60861;Q8N3F8",28.1854024330748,28.0762978659764,28.674626171802,29.0757266901832,28.207004710715
"Q14204;Q6AI08;Q9UPU5",21.2748593527655,20.963781257008,21.257393088312,21.504959453936,21.4796241808505
"P02768;Q92985",26.099441088338,26.6366775348812,25.4726278508458,24.842808304421,25.2051400808437
"P07197",24.2738631822701,24.3669487261097,24.1044645513971,24.0917009765683,24.8370504032564
"P14618;P30613",24.438595149794,24.5713451295909,24.662642542608,24.9369893202722,24.6492565049693
"P08670",23.1815058868008,23.0781346073816,24.5889877850818,23.3806276862284,23.3293213657786
"P46821;Q5K651;Q5T9C2;Q8IWB6",21.7564194872443,21.7681839457469,21.651650042653,22.0910089003186,22.090754535559
"Q14315",21.5771109149323,21.2336279437697,21.8923025180935,22.0684567508164,22.1379587678537
"P07196",24.5259043097653,24.2309139265973,23.9780674800059,24.5869735739992,24.6924210550196
"Q00610;P53675",21.1160022041222,21.1018811124105,21.147697192812,20.9738270036728,21.0768393419157
"P29401;Q9H0I9",22.3028826693158,22.0820638123983,22.0797894868023,22.7918184941884,22.8066109026125
"P00367;A6NF36;O75054;P49448",22.649807228542,23.409572301466,23.2293251379935,23.4038313250457,23.2862944654496
"P12036",24.1703380465004,23.7282232008848,23.6033709874954,23.8917040623593,24.3311823666916
"P04406;O14556",25.7579142407526,25.7481598476961,25.8669330773758,26.1390256642364,25.8810490124834
"P12277;A6NNP5;P06732",24.7018852394543,25.1002434108943,24.6707713088288,25.6011314309246,24.7344392175429
"P09543;P48454",24.4677991833096,24.4085963846338,23.5443344208457,23.8315662336815,24.0989145256314
"P06733",24.1542052724804,24.2214229653569,24.6516887316542,24.3891307329296,24.3917460335433
"P08133",21.6607784997826,21.8874886698968,21.9138024603337,21.9044672744215,21.7842441841236
"Q9BXM0;O95255;Q07075",20.6897875359128,21.0503568739279,18.6622850957748,18.2484214628641,17.9021070466158
"P06396;Q9P1A2",22.514786916068,22.3149125741869,22.7862994721392,23.1397216909937,22.7153356745485
"P35527;Q99456",19.4342239776843,20.466673164825,19.3815000508482,19.3931507664868,23.5967171916413
"P02787;P02788",21.3361449616259,21.8253402282087,21.252221274086,20.437113510541,20.6859161541377
"P06576",22.8156257819942,23.4242234015197,23.0469222923725,22.8675806449042,22.7809421702432
"Q16555",24.2959146432062,24.4369906042089,24.4992503866568,24.8077978569994,24.7145531237556
"P11216",21.3181646975463,21.2866493716857,21.4607965794965,21.6947386694467,21.4199484357181
"P04264",18.4663167712866,20.4998114949988,18.8912981549682,19.1482933665993,23.2380634814595
"Q9Y2J8;Q9ULC6",21.7273267481906,21.483072698158,21.8272080821605,21.1991339429681,21.7936336314845
"P07355;A6NMY6",23.2644818176286,23.1047773914164,23.5453832793686,23.4382133674984,23.2336631513443
"P10809",21.2959504604873,21.7829470487981,21.3170621408171,21.7301869251682,21.6485127871243
"P00558",22.649965779302,22.794452048149,22.8360034823516,22.9160317518381,22.8583484437351
"Q01484;A6NLW8;O43592;P16157",19.8711034018235,19.9289856024783,19.9482119741881,20.4557151401563,19.9908716807694
